Voltage,Current
2.637905056,0.0002
2.637905108,0.0002
2.637905212,0.0002
2.637905419,0.0002
2.637905834,0.0002
2.637906663,0.0002
2.637908323,0.0002
2.637911641,0.0002
2.637918278,0.0002
2.637931551,0.0002
2.637958099,0.0002
2.638011193,0.0002
2.638117382,0.0002
2.638329761,0.0002
2.638754518,0.0002
2.639604031,0.0002
2.641303058,0.0002
2.644701112,0.0002
2.651497221,0.0002
2.665089437,0.0002
2.69227387,0.0002
2.746642735,0.0002
2.855380467,0.0002
3,0.0002
2.987495833,0.0002
2.9624875,0.0002
2.912470833,0.0002
2.8124375,0.0002
2.612370833,0.0002
2.2122375,0.0002
1.411970833,0.0002
0.59880191,0.0001996
0.381119726,0.00012704
0.374317157,0.000124772
0.360712021,0.000120237
0.333501748,0.000111167
0.279081202,9.30E-05
0.170240109,5.67E-05
-0.047442075,-9.42E-06
-0.482806444,-9.73E-05
-0.700488629,-0.000143255
-1.135852998,-0.000240881
-1.199754564,-0.000255869
-1.327557696,-0.000286332
-1.401976585,-1.81E-06
-1.417941345,-1.88E-06
-1.449870867,-2.04E-06
-1.513729909,-2.39E-06
-1.641447995,-3.29E-06
-1.896884166,-6.23E-06
-2.407756509,-2.23E-05
-3,-9.82E-05
-2.99921849,-9.80E-05
-2.997655469,-9.76E-05
-2.994529427,-9.68E-05
-2.988277344,-9.53E-05
-2.975773177,-9.24E-05
-2.950764844,-8.68E-05
-2.900748177,-7.66E-05
-2.800714844,-5.97E-05
-2.600648177,-3.62E-05
-2.200514844,-1.33E-05
-2.10048151,-1.04E-05
-1.900414844,-6.28E-06
-1.50028151,-2.31E-06
-1.269069352,-1.29E-06
-0.806645034,-4.01E-07
-0.246807052,-7.13E-08
0,0.00E+00
0.872868914,4.75E-07
1.100526547,8.47E-07
1.555841813,2.65E-06
1.700680544,3.81E-06
1.990358008,7.87E-06
2.217871118,1.39E-05
2.449655819,2.48E-05
2.450390601,0.0002
2.450390601,0.0002
2.450390601,0.0002
2.450390601,0.0002
2.450390602,0.0002
2.450390603,0.0002
2.450390605,0.0002
2.450390609,0.0002
2.450390617,0.0002
2.450390633,0.0002
2.450390665,0.0002
2.450390729,0.0002
2.450390857,0.0002
2.450391112,0.0002
2.450391624,0.0002
2.450392647,0.0002
2.450394694,0.0002
2.450398786,0.0002
2.450406972,0.0002
2.450423343,0.0002
2.450456084,0.0002
2.450521568,0.0002
2.450652535,0.0002
2.45091447,0.0002
2.451438339,0.0002
2.452486077,0.0002
2.454581552,0.0002
2.458772504,0.0002
2.467154407,0.0002
2.483918214,0.0002
2.517445826,0.0002
2.584501052,0.0002
2.718611502,0.0002
2.986832404,0.0002
3,0.0002
2.987495833,0.0002
2.974991667,0.0002
2.949983333,0.0002
2.899966667,0.0002
2.799933333,0.0002
2.599866667,0.0002
2.199733333,0.0002
1.399466667,0.0002
0.59880191,0.0001996
0.383803923,0.000127934
0.382124251,0.000127374
0.378764908,0.000126255
0.37204622,0.000124015
0.358608846,0.000119536
0.331734098,0.000110578
0.277984601,9.27E-05
0.170485607,5.68E-05
-0.04451238,-8.84E-06
-0.474508355,-9.56E-05
-0.689506342,-0.000140894
-1.119502317,-0.000237073
-1.188351523,-0.000253183
-1.326049935,-0.000285969
-1.403161736,-1.81E-06
-1.419737028,-1.89E-06
-1.452887611,-2.05E-06
-1.519188778,-2.42E-06
-1.651791111,-3.37E-06
-1.916995777,-6.55E-06
-2.447405109,-2.47E-05
-3,-9.82E-05
-2.99921849,-9.80E-05
-2.997655469,-9.76E-05
-2.994529427,-9.68E-05
-2.988277344,-9.53E-05
-2.975773177,-9.24E-05
-2.950764844,-8.68E-05
-2.900748177,-7.66E-05
-2.800714844,-5.97E-05
-2.600648177,-3.62E-05
-2.200514844,-1.33E-05
-2.10048151,-1.04E-05
-1.900414844,-6.28E-06
-1.50028151,-2.31E-06
-1.269069352,-1.29E-06
-0.806645034,-4.01E-07
-0.246807052,-7.13E-08
0,0.00E+00
0.872868914,4.75E-07
1.100526547,8.47E-07
1.555841813,2.65E-06
1.700680544,3.81E-06
1.990358008,7.87E-06
2.217788928,1.39E-05
2.449531251,2.48E-05
2.450265908,0.0002
2.450265908,0.0002
2.450265908,0.0002
2.450265908,0.0002
2.450265909,0.0002
2.45026591,0.0002
2.450265912,0.0002
2.450265917,0.0002
2.450265927,0.0002
2.450265946,0.0002
2.450265984,0.0002
2.45026606,0.0002
2.450266213,0.0002
2.450266518,0.0002
2.450267128,0.0002
2.450268347,0.0002
2.450270787,0.0002
2.450275666,0.0002
2.450285425,0.0002
2.450304942,0.0002
2.450343976,0.0002
2.450422045,0.0002
2.450578183,0.0002
2.450890458,0.0002
2.451515008,0.0002
2.452764108,0.0002
2.455262308,0.0002
2.460258708,0.0002
2.470251508,0.0002
2.490237108,0.0002
2.530208309,0.0002
2.610150711,0.0002
2.770035514,0.0002
3,0.0002
2.987495833,0.0002
2.9624875,0.0002
