time,membrane_voltage,input_current
0.00125002000390625,0.1554654,1.953125e-09
0.00125002001171875,0.1554654,5.859375e-09
0.00125002002734375,0.1554654,1.367188e-08
0.00125002005859375,0.1554654,2.929687e-08
0.00125002012109375,0.1554654,6.054687e-08
0.00125002024609375,0.1554655,1.230469e-07
0.00125002049609375,0.1554658,2.480469e-07
0.00125002099609375,0.1554669,4.980469e-07
0.00125002199609375,0.1554716,9.980469e-07
0.00125002399609375,0.1554908,1.998047e-06
0.00125002799609375,0.1555688,3.998047e-06
0.001250032,0.1556999,6e-06
0.00125004,0.1561209,1e-05
0.00125054,0.1890555,1e-05
0.00125054184,0.1891654,9.08e-06
0.00125054552,0.1893629,7.24e-06
0.00125055288,0.1896233,3.56e-06
0.00125056,0.1897057,8.559268000000001e-17
0.001301942270609409,0.1884102,0.0
0.001404342270609467,0.1858548,0.0
0.00150002,0.1834984,0.0
0.00150002000390625,0.1834984,1.953125e-09
0.00150002001171875,0.1834984,5.859375e-09
0.00150002002734375,0.1834984,1.367188e-08
0.00150002005859375,0.1834984,2.929687e-08
0.00150002012109375,0.1834984,6.054687e-08
0.00150002024609375,0.1834985,1.230469e-07
0.00150002049609375,0.1834987,2.480469e-07
0.00150002099609375,0.1834998,4.980469e-07
0.00150002199609375,0.1835045,9.980469e-07
0.00150002399609375,0.1835237,1.998047e-06
0.00150002799609375,0.1836016,3.998047e-06
0.001500032000000001,0.1837326,6e-06
0.00150004,0.1841535,1e-05
0.00150054,0.2170769,1e-05
0.001500541840000001,0.2171868,9.08e-06
0.001500545520000002,0.2173841,7.24e-06
0.001500552880000004,0.2176443,3.56e-06
0.00150056,0.2177267,8.559268000000001e-17
0.001502342270609286,0.217675,0.0
0.001604742270609344,0.2147226,0.0
0.001707142270609402,0.2118102,0.0
0.00175002,0.2106025,0.0
0.00175002000390625,0.2106025,1.953125e-09
0.00175002001171875,0.2106025,5.859375e-09
0.00175002002734375,0.2106025,1.367188e-08
0.00175002005859375,0.2106025,2.929687e-08
0.00175002012109375,0.2106025,6.054687e-08
0.00175002024609375,0.2106026,1.230469e-07
0.00175002049609375,0.2106028,2.480469e-07
0.00175002099609375,0.2106039,4.980469e-07
0.00175002199609375,0.2106086,9.980469e-07
0.00175002399609375,0.2106277,1.998047e-06
0.00175002799609375,0.2107056,3.998047e-06
0.001750032,0.2108365,6e-06
0.00175004,0.2112571,1e-05
0.00175054,0.2441697,1e-05
0.00175054184,0.2442796,9.08e-06
0.00175054552,0.2444769,7.24e-06
0.00175055288,0.2447369,3.56e-06
0.00175056,0.2448192,8.559268000000001e-17
0.00180514227060941,0.2430436,0.0
0.001907542270609468,0.2397471,0.0
0.00200002,0.2368085,0.0
